'ID','SHOP_KEY','ZONE_KEY','VISITOR_ID','DATE_ID','TIME_ID','ZONE_ENTRY_ID','ZONE_EXIT_ID','SHOP_ENTRY_ID','SHOP_EXIT_ID'
865,'','Z5_5',27,2,64662,64662,64839,'',64839
866,'1_6','Z6_6',27,2,64839,64839,65017,64839,65017
867,'2_1','Z1_1',27,2,65017,65017,65195,65017,65195
4838,'','Z5_5',18,3,57821,57821,58000,'',58000
4839,'3_1','Z1_1',18,3,58000,58000,58179,58000,58179
4840,'','Z4_4',18,3,58179,58179,58359,'',''
4841,'10_2','Z2_2',18,3,58359,58359,58538,58359,58538
4842,'','Z4_4',18,3,58538,58538,58718,'',''
4843,'2_1','Z1_1',18,3,58718,58718,58897,58718,58897
4844,'11_4','Z4_4',18,3,58897,58897,59077,58897,59077
4845,'10_2','Z2_2',18,3,59077,59077,59256,59077,59256
4846,'4_3','Z3_3',18,3,59256,59256,59256,59256,59256
3919,'','Z2_2',39,5,33568,33568,33748,'',33748
3920,'2_1','Z1_1',39,5,33748,33748,33928,33748,33928
3921,'','Z5_5',39,5,33928,33928,34108,'',''
3922,'','Z6_6',39,5,34108,34108,'','',''
3923,'','Z6_6',39,5,34288,34108,34468,'',''
3924,'4_3','Z3_3',39,5,34468,34468,34648,34468,34648
3925,'','Z5_5',39,5,34648,34648,'','',''
3926,'','Z5_5',39,5,34828,34648,'','',''
3927,'','Z5_5',39,5,35008,34648,35188,'',''
3928,'2_1','Z1_1',39,5,35188,35188,'',35188,''
3929,'2_1','Z1_1',39,5,35368,35188,35548,35188,35548
3930,'10_2','Z2_2',39,5,35548,35548,35728,35548,35728
3931,'','Z5_5',39,5,35728,35728,35908,'',''
3932,'','Z3_3',39,5,35908,35908,'','',''
3933,'5_3','Z3_3',39,5,36089,35908,36269,36089,36269
3934,'11_4','Z4_4',39,5,36269,36269,'',36269,36449
3935,'9_4','Z4_4',39,5,36449,36269,'',36449,36629
3936,'11_4','Z4_4',39,5,36629,36269,36809,36629,36809
3937,'','Z3_3',39,5,36809,36809,36989,'',''
3938,'8_4','Z4_4',39,5,36989,36989,37169,36989,37169
3939,'','Z1_1',39,5,37169,37169,37349,'',''
3940,'','Z4_4',39,5,37349,37349,37529,'',''
3941,'10_2','Z2_2',39,5,37529,37529,37709,37529,37709
3942,'2_1','Z1_1',39,5,37709,37709,37889,37709,37889
3943,'','Z2_2',39,5,37889,37889,38069,'',''
3944,'','Z6_6',39,5,38069,38069,38249,'',''
3945,'','Z1_1',39,5,38249,38249,38430,'',''
3946,'11_4','Z4_4',39,5,38430,38430,38610,38430,38610
3947,'','Z6_6',39,5,38610,38610,38790,'',''
3948,'','Z5_5',39,5,38790,38790,38970,'',''
3949,'2_1','Z1_1',39,5,38970,38970,39150,38970,39150
3950,'','Z6_6',39,5,39150,39150,39330,'',''
3951,'4_3','Z3_3',39,5,39330,39330,39510,39330,39510
3952,'','Z6_6',39,5,39510,39510,39690,'',''
3953,'8_4','Z4_4',39,5,39690,39690,39870,39690,39870
3954,'','Z2_2',39,5,39870,39870,40050,'',''
3955,'','Z6_6',39,5,40050,40050,40230,'',''
3956,'','Z5_5',39,5,40230,40230,'','',''
3957,'','Z5_5',39,5,40410,40230,40590,'',''
3958,'','Z1_1',39,5,40590,40590,40770,'',''
3959,'6_2','Z2_2',39,5,40770,40770,40951,40770,40951
3960,'9_4','Z4_4',39,5,40951,40951,'',40951,''
3961,'9_4','Z4_4',39,5,41131,40951,41311,40951,41311
3962,'10_2','Z2_2',39,5,41311,41311,41491,41311,41491
3963,'','Z4_4',39,5,41491,41491,41671,'',''
3964,'','Z6_6',39,5,41671,41671,41851,'',''
3965,'5_3','Z3_3',39,5,41851,41851,42031,41851,42031
3966,'11_4','Z4_4',39,5,42031,42031,'',42031,''
